precinct,votes,ja'mal green,%,sophia king,%,kam buckner,%,willie l. wilson,%,brandon johnson,%,paul vallas,%,lori e. lightfoot,%,roderick t. sawyer,%,"jesus ""chuy"" garcia",%,ward
19,408,3,0.74%,3,0.74%,5,1.23%,32,7.84%,32,7.84%,138,33.82%,37,9.07%,1,0.25%,157,38.48%,Ward 22
1,321,3,0.93%,1,0.31%,2,0.62%,18,5.61%,11,3.43%,233,72.59%,12,3.74%,0,0%,41,12.77%,Ward 23
2,506,1,0.20%,1,0.20%,0,0%,32,6.32%,18,3.56%,360,71.15%,18,3.56%,0,0%,76,15.02%,Ward 23
3,318,2,0.63%,0,0%,1,0.31%,19,5.97%,11,3.46%,227,71.38%,14,4.40%,2,0.63%,42,13.21%,Ward 23
4,245,4,1.63%,1,0.41%,1,0.41%,20,8.16%,7,2.86%,178,72.65%,3,1.22%,2,0.82%,29,11.84%,Ward 23
5,417,1,0.24%,0,0%,1,0.24%,30,7.19%,15,3.60%,316,75.78%,5,1.20%,1,0.24%,48,11.51%,Ward 23
6,245,0,0%,0,0%,1,0.41%,23,9.39%,6,2.45%,171,69.80%,5,2.04%,0,0%,39,15.92%,Ward 23
7,323,4,1.24%,0,0%,0,0%,34,10.53%,12,3.72%,212,65.63%,12,3.72%,0,0%,49,15.17%,Ward 23
8,301,0,0%,2,0.66%,2,0.66%,39,12.96%,8,2.66%,181,60.13%,7,2.33%,0,0%,62,20.60%,Ward 23
9,483,2,0.41%,5,1.04%,1,0.21%,47,9.73%,31,6.42%,296,61.28%,10,2.07%,0,0%,91,18.84%,Ward 23
10,450,4,0.89%,1,0.22%,1,0.22%,26,5.78%,28,6.22%,266,59.11%,23,5.11%,0,0%,101,22.44%,Ward 23
11,200,1,0.50%,0,0%,2,1.00%,16,8.00%,17,8.50%,89,44.50%,5,2.50%,0,0%,70,35.00%,Ward 23
12,277,1,0.36%,1,0.36%,0,0%,31,11.19%,15,5.42%,119,42.96%,11,3.97%,0,0%,99,35.74%,Ward 23
13,495,5,1.01%,1,0.20%,2,0.40%,35,7.07%,29,5.86%,220,44.44%,23,4.65%,0,0%,180,36.36%,Ward 23
14,361,5,1.39%,2,0.55%,1,0.28%,34,9.42%,23,6.37%,130,36.01%,15,4.16%,0,0%,151,41.83%,Ward 23
15,351,2,0.57%,0,0%,6,1.71%,31,8.83%,25,7.12%,147,41.88%,12,3.42%,0,0%,128,36.47%,Ward 23
16,201,2,1.00%,1,0.50%,0,0%,11,5.47%,17,8.46%,53,26.37%,5,2.49%,1,0.50%,111,55.22%,Ward 23
17,251,2,0.80%,0,0%,2,0.80%,19,7.57%,26,10.36%,63,25.10%,15,5.98%,0,0%,124,49.40%,Ward 23
18,229,1,0.44%,0,0%,1,0.44%,13,5.68%,20,8.73%,65,28.38%,7,3.06%,0,0%,122,53.28%,Ward 23
19,168,4,2.38%,0,0%,1,0.60%,14,8.33%,10,5.95%,42,25.00%,3,1.79%,0,0%,94,55.95%,Ward 23
20,171,2,1.17%,2,1.17%,1,0.58%,7,4.09%,23,13.45%,38,22.22%,6,3.51%,0,0%,92,53.80%,Ward 23
21,145,3,2.07%,1,0.69%,0,0%,14,9.66%,10,6.90%,42,28.97%,6,4.14%,2,1.38%,67,46.21%,Ward 23
22,167,2,1.20%,3,1.80%,0,0%,17,10.18%,9,5.39%,52,31.14%,11,6.59%,0,0%,73,43.71%,Ward 23
23,166,2,1.20%,4,2.41%,2,1.20%,15,9.04%,10,6.02%,51,30.72%,4,2.41%,1,0.60%,77,46.39%,Ward 23
24,165,0,0%,0,0%,2,1.21%,10,6.06%,14,8.48%,39,23.64%,8,4.85%,1,0.61%,91,55.15%,Ward 23
25,161,3,1.86%,0,0%,1,0.62%,11,6.83%,7,4.35%,60,37.27%,5,3.11%,0,0%,74,45.96%,Ward 23
26,134,4,2.99%,1,0.75%,0,0%,6,4.48%,9,6.72%,32,23.88%,5,3.73%,0,0%,77,57.46%,Ward 23
27,140,0,0%,5,3.57%,0,0%,9,6.43%,16,11.43%,27,19.29%,13,9.29%,0,0%,70,50.00%,Ward 23
28,214,1,0.47%,0,0%,0,0%,9,4.21%,18,8.41%,82,38.32%,12,5.61%,0,0%,92,42.99%,Ward 23
29,260,8,3.08%,1,0.38%,2,0.77%,20,7.69%,13,5.00%,54,20.77%,17,6.54%,0,0%,145,55.77%,Ward 23
30,174,2,1.15%,0,0%,0,0%,17,9.77%,13,7.47%,46,26.44%,15,8.62%,1,0.57%,80,45.98%,Ward 23
31,211,4,1.90%,0,0%,0,0%,9,4.27%,18,8.53%,68,32.23%,6,2.84%,0,0%,106,50.24%,Ward 23
32,169,1,0.59%,0,0%,0,0%,8,4.73%,15,8.88%,60,35.50%,7,4.14%,2,1.18%,76,44.97%,Ward 23
33,396,7,1.77%,2,0.51%,2,0.51%,34,8.59%,35,8.84%,143,36.11%,47,11.87%,2,0.51%,124,31.31%,Ward 23
1,183,5,2.73%,0,0%,0,0%,58,31.69%,37,20.22%,7,3.83%,72,39.34%,0,0%,4,2.19%,Ward 24
2,171,7,4.09%,1,0.58%,0,0%,47,27.49%,30,17.54%,13,7.60%,67,39.18%,1,0.58%,5,2.92%,Ward 24
3,334,19,5.69%,1,0.30%,0,0%,75,22.46%,63,18.86%,20,5.99%,145,43.41%,1,0.30%,10,2.99%,Ward 24
4,293,11,3.75%,3,1.02%,1,0.34%,74,25.26%,48,16.38%,11,3.75%,127,43.34%,3,1.02%,15,5.12%,Ward 24
5,474,17,3.59%,1,0.21%,1,0.21%,111,23.42%,78,16.46%,34,7.17%,214,45.15%,1,0.21%,17,3.59%,Ward 24
6,312,12,3.85%,0,0%,1,0.32%,82,26.28%,60,19.23%,12,3.85%,135,43.27%,0,0%,10,3.21%,Ward 24
7,147,4,2.72%,0,0%,2,1.36%,47,31.97%,22,14.97%,5,3.40%,64,43.54%,0,0%,3,2.04%,Ward 24
8,214,9,4.21%,3,1.40%,1,0.47%,63,29.44%,32,14.95%,12,5.61%,82,38.32%,0,0%,12,5.61%,Ward 24
9,362,13,3.59%,1,0.28%,4,1.10%,88,24.31%,74,20.44%,16,4.42%,149,41.16%,4,1.10%,13,3.59%,Ward 24
10,284,11,3.87%,1,0.35%,1,0.35%,89,31.34%,45,15.85%,13,4.58%,113,39.79%,0,0%,11,3.87%,Ward 24
11,304,13,4.28%,4,1.32%,1,0.33%,83,27.30%,55,18.09%,23,7.57%,114,37.50%,0,0%,11,3.62%,Ward 24
12,485,11,2.27%,2,0.41%,5,1.03%,129,26.60%,122,25.15%,27,5.57%,166,34.23%,2,0.41%,21,4.33%,Ward 24
13,323,13,4.02%,3,0.93%,2,0.62%,78,24.15%,60,18.58%,26,8.05%,134,41.49%,0,0%,7,2.17%,Ward 24
14,308,9,2.92%,5,1.62%,2,0.65%,80,25.97%,55,17.86%,16,5.19%,130,42.21%,3,0.97%,8,2.60%,Ward 24
15,220,8,3.64%,2,0.91%,2,0.91%,61,27.73%,29,13.18%,16,7.27%,97,44.09%,1,0.45%,4,1.82%,Ward 24
16,131,3,2.29%,2,1.53%,0,0%,26,19.85%,27,20.61%,10,7.63%,53,40.46%,0,0%,10,7.63%,Ward 24
17,249,9,3.61%,3,1.20%,0,0%,74,29.72%,29,11.65%,18,7.23%,111,44.58%,0,0%,5,2.01%,Ward 24
18,413,8,1.94%,3,0.73%,3,0.73%,62,15.01%,97,23.49%,34,8.23%,81,19.61%,0,0%,125,30.27%,Ward 24
19,1137,81,7.12%,42,3.69%,20,1.76%,345,30.34%,152,13.37%,39,3.43%,240,21.11%,9,0.79%,209,18.38%,Ward 24
20,289,6,2.08%,2,0.69%,2,0.69%,43,14.88%,71,24.57%,27,9.34%,117,40.48%,0,0%,21,7.27%,Ward 24
1,288,4,1.39%,1,0.35%,1,0.35%,16,5.56%,47,16.32%,34,11.81%,11,3.82%,0,0%,174,60.42%,Ward 25
2,206,1,0.49%,1,0.49%,3,1.46%,7,3.40%,24,11.65%,16,7.77%,6,2.91%,0,0%,148,71.84%,Ward 25
3,284,1,0.35%,0,0%,3,1.06%,11,3.87%,79,27.82%,31,10.92%,22,7.75%,1,0.35%,136,47.89%,Ward 25
4,319,7,2.19%,2,0.63%,5,1.57%,26,8.15%,74,23.20%,45,14.11%,9,2.82%,1,0.31%,150,47.02%,Ward 25
5,496,14,2.82%,2,0.40%,2,0.40%,17,3.43%,147,29.64%,56,11.29%,25,5.04%,1,0.20%,232,46.77%,Ward 25
6,505,12,2.38%,1,0.20%,7,1.39%,19,3.76%,134,26.53%,111,21.98%,19,3.76%,0,0%,202,40.00%,Ward 25
7,503,14,2.78%,2,0.40%,8,1.59%,24,4.77%,136,27.04%,83,16.50%,20,3.98%,0,0%,216,42.94%,Ward 25
8,489,2,0.41%,2,0.41%,5,1.02%,20,4.09%,105,21.47%,102,20.86%,15,3.07%,1,0.20%,237,48.47%,Ward 25
9,482,5,1.04%,2,0.41%,5,1.04%,14,2.90%,162,33.61%,72,14.94%,18,3.73%,1,0.21%,203,42.12%,Ward 25
10,567,6,1.06%,0,0%,7,1.23%,19,3.35%,191,33.69%,83,14.64%,30,5.29%,0,0%,231,40.74%,Ward 25
11,464,6,1.29%,5,1.08%,6,1.29%,16,3.45%,143,30.82%,77,16.59%,16,3.45%,1,0.22%,194,41.81%,Ward 25
12,418,4,0.96%,1,0.24%,7,1.67%,8,1.91%,163,39.00%,43,10.29%,20,4.78%,0,0%,172,41.15%,Ward 25
13,520,13,2.50%,4,0.77%,16,3.08%,18,3.46%,159,30.58%,140,26.92%,47,9.04%,3,0.58%,120,23.08%,Ward 25
14,677,13,1.92%,4,0.59%,11,1.62%,33,4.87%,198,29.25%,96,14.18%,52,7.68%,0,0%,270,39.88%,Ward 25
15,403,8,1.99%,4,0.99%,7,1.74%,16,3.97%,69,17.12%,191,47.39%,49,12.16%,1,0.25%,58,14.39%,Ward 25
16,593,9,1.52%,2,0.34%,7,1.18%,19,3.20%,207,34.91%,120,20.24%,34,5.73%,1,0.17%,194,32.72%,Ward 25
17,214,2,0.93%,1,0.47%,6,2.80%,13,6.07%,57,26.64%,56,26.17%,15,7.01%,0,0%,64,29.91%,Ward 25
1,195,2,1.03%,0,0%,1,0.51%,20,10.26%,20,10.26%,46,23.59%,20,10.26%,0,0%,86,44.10%,Ward 26
2,208,2,0.96%,2,0.96%,3,1.44%,14,6.73%,67,32.21%,31,14.90%,20,9.62%,0,0%,69,33.17%,Ward 26
3,336,9,2.68%,1,0.30%,9,2.68%,12,3.57%,181,53.87%,41,12.20%,26,7.74%,0,0%,57,16.96%,Ward 26
4,250,4,1.60%,2,0.80%,1,0.40%,38,15.20%,28,11.20%,54,21.60%,28,11.20%,0,0%,95,38.00%,Ward 26
5,306,7,2.29%,0,0%,2,0.65%,25,8.17%,119,38.89%,61,19.93%,30,9.80%,1,0.33%,61,19.93%,Ward 26
6,217,7,3.23%,1,0.46%,5,2.30%,14,6.45%,68,31.34%,56,25.81%,15,6.91%,1,0.46%,50,23.04%,Ward 26
7,274,7,2.55%,2,0.73%,7,2.55%,8,2.92%,126,45.99%,46,16.79%,25,9.12%,0,0%,53,19.34%,Ward 26
8,246,7,2.85%,4,1.63%,3,1.22%,17,6.91%,68,27.64%,44,17.89%,24,9.76%,1,0.41%,78,31.71%,Ward 26
9,245,4,1.63%,3,1.22%,3,1.22%,20,8.16%,58,23.67%,63,25.71%,14,5.71%,0,0%,80,32.65%,Ward 26
10,237,6,2.53%,3,1.27%,3,1.27%,17,7.17%,82,34.60%,40,16.88%,30,12.66%,1,0.42%,55,23.21%,Ward 26
11,178,4,2.25%,2,1.12%,6,3.37%,8,4.49%,75,42.13%,42,23.60%,9,5.06%,0,0%,32,17.98%,Ward 26
12,113,2,1.77%,3,2.65%,2,1.77%,6,5.31%,44,38.94%,16,14.16%,12,10.62%,0,0%,28,24.78%,Ward 26
13,170,4,2.35%,0,0%,1,0.59%,12,7.06%,67,39.41%,33,19.41%,28,16.47%,0,0%,25,14.71%,Ward 26
14,151,3,1.99%,2,1.32%,0,0%,20,13.25%,13,8.61%,29,19.21%,17,11.26%,0,0%,67,44.37%,Ward 26
15,204,6,2.94%,1,0.49%,0,0%,15,7.35%,25,12.25%,52,25.49%,15,7.35%,0,0%,90,44.12%,Ward 26
16,361,5,1.39%,4,1.11%,6,1.66%,19,5.26%,131,36.29%,74,20.50%,43,11.91%,1,0.28%,78,21.61%,Ward 26
17,309,4,1.29%,10,3.24%,9,2.91%,12,3.88%,141,45.63%,62,20.06%,23,7.44%,0,0%,48,15.53%,Ward 26
18,158,0,0%,1,0.63%,1,0.63%,15,9.49%,19,12.03%,30,18.99%,10,6.33%,0,0%,82,51.90%,Ward 26
19,336,10,2.98%,4,1.19%,13,3.87%,9,2.68%,153,45.54%,63,18.75%,41,12.20%,0,0%,43,12.80%,Ward 26
20,386,8,2.07%,3,0.78%,4,1.04%,16,4.15%,166,43.01%,75,19.43%,34,8.81%,0,0%,80,20.73%,Ward 26
21,172,8,4.65%,0,0%,1,0.58%,7,4.07%,30,17.44%,40,23.26%,17,9.88%,0,0%,69,40.12%,Ward 26
22,208,4,1.92%,1,0.48%,2,0.96%,26,12.50%,29,13.94%,31,14.90%,30,14.42%,1,0.48%,84,40.38%,Ward 26
23,330,8,2.42%,0,0%,2,0.61%,28,8.48%,114,34.55%,46,13.94%,28,8.48%,0,0%,104,31.52%,Ward 26
24,196,2,1.02%,2,1.02%,0,0%,21,10.71%,39,19.90%,40,20.41%,14,7.14%,0,0%,78,39.80%,Ward 26
25,300,6,2.00%,9,3.00%,9,3.00%,13,4.33%,127,42.33%,46,15.33%,30,10.00%,2,0.67%,58,19.33%,Ward 26
26,418,9,2.15%,4,0.96%,3,0.72%,21,5.02%,163,39.00%,65,15.55%,45,10.77%,2,0.48%,106,25.36%,Ward 26
27,384,9,2.34%,8,2.08%,5,1.30%,18,4.69%,155,40.36%,77,20.05%,42,10.94%,0,0%,70,18.23%,Ward 26
28,360,8,2.22%,1,0.28%,12,3.33%,11,3.06%,160,44.44%,83,23.06%,20,5.56%,2,0.56%,63,17.50%,Ward 26
29,356,8,2.25%,1,0.28%,7,1.97%,23,6.46%,134,37.64%,68,19.10%,17,4.78%,0,0%,98,27.53%,Ward 26
30,174,3,1.72%,0,0%,0,0%,10,5.75%,89,51.15%,29,16.67%,20,11.49%,0,0%,23,13.22%,Ward 26
31,232,5,2.16%,2,0.86%,1,0.43%,17,7.33%,43,18.53%,43,18.53%,20,8.62%,0,0%,101,43.53%,Ward 26
32,284,6,2.11%,8,2.82%,14,4.93%,16,5.63%,80,28.17%,66,23.24%,29,10.21%,1,0.35%,64,22.54%,Ward 26
1,362,17,4.70%,2,0.55%,12,3.31%,18,4.97%,70,19.34%,158,43.65%,49,13.54%,4,1.10%,32,8.84%,Ward 27
2,450,9,2.00%,10,2.22%,15,3.33%,35,7.78%,72,16.00%,204,45.33%,68,15.11%,2,0.44%,35,7.78%,Ward 27
3,265,8,3.02%,2,0.75%,0,0%,79,29.81%,42,15.85%,15,5.66%,105,39.62%,0,0%,14,5.28%,Ward 27
4,341,14,4.11%,3,0.88%,4,1.17%,57,16.72%,60,17.60%,49,14.37%,138,40.47%,1,0.29%,15,4.40%,Ward 27
5,236,7,2.97%,0,0%,2,0.85%,61,25.85%,50,21.19%,18,7.63%,83,35.17%,0,0%,15,6.36%,Ward 27
6,467,11,2.36%,9,1.93%,8,1.71%,24,5.14%,80,17.13%,213,45.61%,78,16.70%,0,0%,44,9.42%,Ward 27
7,575,9,1.57%,6,1.04%,24,4.17%,51,8.87%,161,28.00%,164,28.52%,65,11.30%,2,0.35%,93,16.17%,Ward 27
8,150,4,2.67%,1,0.67%,1,0.67%,43,28.67%,23,15.33%,13,8.67%,54,36.00%,0,0%,11,7.33%,Ward 27
9,447,13,2.91%,6,1.34%,11,2.46%,63,14.09%,58,12.98%,134,29.98%,120,26.85%,2,0.45%,40,8.95%,Ward 27
10,319,14,4.39%,4,1.25%,3,0.94%,108,33.86%,35,10.97%,37,11.60%,96,30.09%,2,0.63%,20,6.27%,Ward 27
11,362,5,1.38%,7,1.93%,14,3.87%,8,2.21%,71,19.61%,170,46.96%,41,11.33%,1,0.28%,45,12.43%,Ward 27
12,357,7,1.96%,7,1.96%,3,0.84%,76,21.29%,45,12.61%,106,29.69%,85,23.81%,0,0%,28,7.84%,Ward 27
13,372,11,2.96%,5,1.34%,8,2.15%,63,16.94%,72,19.35%,68,18.28%,116,31.18%,1,0.27%,28,7.53%,Ward 27
14,290,15,5.17%,2,0.69%,2,0.69%,90,31.03%,58,20.00%,22,7.59%,87,30.00%,1,0.34%,13,4.48%,Ward 27
15,314,14,4.46%,3,0.96%,11,3.50%,28,8.92%,65,20.70%,99,31.53%,69,21.97%,0,0%,25,7.96%,Ward 27
16,336,10,2.98%,6,1.79%,15,4.46%,13,3.87%,56,16.67%,168,50.00%,39,11.61%,1,0.30%,28,8.33%,Ward 27
17,163,4,2.45%,0,0%,3,1.84%,21,12.88%,44,26.99%,29,17.79%,50,30.67%,0,0%,12,7.36%,Ward 27
18,468,15,3.21%,4,0.85%,11,2.35%,109,23.29%,83,17.74%,66,14.10%,152,32.48%,1,0.21%,27,5.77%,Ward 27
19,137,7,5.11%,0,0%,1,0.73%,25,18.25%,28,20.44%,16,11.68%,43,31.39%,0,0%,17,12.41%,Ward 27
20,254,9,3.54%,5,1.97%,6,2.36%,59,23.23%,48,18.90%,34,13.39%,87,34.25%,1,0.39%,5,1.97%,Ward 27
21,197,1,0.51%,2,1.02%,6,3.05%,21,10.66%,39,19.80%,75,38.07%,43,21.83%,2,1.02%,8,4.06%,Ward 27
22,267,11,4.12%,4,1.50%,1,0.37%,52,19.48%,44,16.48%,26,9.74%,106,39.70%,1,0.37%,22,8.24%,Ward 27
23,247,6,2.43%,0,0%,1,0.40%,54,21.86%,33,13.36%,17,6.88%,121,48.99%,2,0.81%,13,5.26%,Ward 27
24,132,7,5.30%,1,0.76%,1,0.76%,38,28.79%,22,16.67%,15,11.36%,26,19.70%,1,0.76%,21,15.91%,Ward 27
25,316,17,5.38%,1,0.32%,1,0.32%,56,17.72%,92,29.11%,25,7.91%,98,31.01%,0,0%,26,8.23%,Ward 27
26,342,13,3.80%,4,1.17%,3,0.88%,48,14.04%,86,25.15%,32,9.36%,131,38.30%,3,0.88%,22,6.43%,Ward 27
27,238,15,6.30%,3,1.26%,6,2.52%,33,13.87%,52,21.85%,43,18.07%,69,28.99%,0,0%,17,7.14%,Ward 27
28,256,5,1.95%,1,0.39%,7,2.73%,10,3.91%,45,17.58%,133,51.95%,38,14.84%,0,0%,17,6.64%,Ward 27
29,459,3,0.65%,2,0.44%,24,5.23%,14,3.05%,99,21.57%,205,44.66%,64,13.94%,1,0.22%,47,10.24%,Ward 27
1,198,10,5.05%,2,1.01%,0,0%,39,19.70%,24,12.12%,5,2.53%,104,52.53%,2,1.01%,12,6.06%,Ward 28
2,195,10,5.13%,0,0%,0,0%,50,25.64%,23,11.79%,11,5.64%,97,49.74%,0,0%,4,2.05%,Ward 28
3,59,2,3.39%,0,0%,0,0%,10,16.95%,6,10.17%,2,3.39%,36,61.02%,0,0%,3,5.08%,Ward 28
4,185,3,1.62%,1,0.54%,1,0.54%,58,31.35%,19,10.27%,13,7.03%,83,44.86%,1,0.54%,6,3.24%,Ward 28
5,227,7,3.08%,0,0%,0,0%,91,40.09%,26,11.45%,10,4.41%,87,38.33%,1,0.44%,5,2.20%,Ward 28
6,281,6,2.14%,4,1.42%,0,0%,68,24.20%,64,22.78%,27,9.61%,99,35.23%,0,0%,13,4.63%,Ward 28
7,160,5,3.13%,3,1.88%,0,0%,31,19.38%,43,26.88%,16,10.00%,53,33.13%,0,0%,9,5.63%,Ward 28
8,271,9,3.32%,3,1.11%,1,0.37%,65,23.99%,51,18.82%,15,5.54%,110,40.59%,3,1.11%,14,5.17%,Ward 28
9,153,8,5.23%,1,0.65%,0,0%,47,30.72%,14,9.15%,11,7.19%,68,44.44%,0,0%,4,2.61%,Ward 28
10,75,2,2.67%,0,0%,2,2.67%,22,29.33%,7,9.33%,9,12.00%,29,38.67%,0,0%,4,5.33%,Ward 28
11,324,15,4.63%,4,1.23%,7,2.16%,32,9.88%,77,23.77%,70,21.60%,60,18.52%,1,0.31%,58,17.90%,Ward 28
12,521,9,1.73%,9,1.73%,17,3.26%,33,6.33%,113,21.69%,146,28.02%,80,15.36%,1,0.19%,113,21.69%,Ward 28
13,360,6,1.67%,1,0.28%,11,3.06%,30,8.33%,50,13.89%,155,43.06%,66,18.33%,5,1.39%,36,10.00%,Ward 28
14,310,14,4.52%,3,0.97%,5,1.61%,45,14.52%,52,16.77%,61,19.68%,103,33.23%,0,0%,27,8.71%,Ward 28
15,167,6,3.59%,2,1.20%,1,0.60%,53,31.74%,19,11.38%,13,7.78%,69,41.32%,1,0.60%,3,1.80%,Ward 28
16,420,16,3.81%,6,1.43%,8,1.90%,86,20.48%,73,17.38%,76,18.10%,121,28.81%,1,0.24%,33,7.86%,Ward 28
17,231,11,4.76%,2,0.87%,1,0.43%,50,21.65%,34,14.72%,29,12.55%,70,30.30%,1,0.43%,33,14.29%,Ward 28
18,254,9,3.54%,5,1.97%,3,1.18%,89,35.04%,37,14.57%,17,6.69%,87,34.25%,1,0.39%,6,2.36%,Ward 28
19,239,3,1.26%,2,0.84%,0,0%,53,22.18%,37,15.48%,7,2.93%,131,54.81%,0,0%,6,2.51%,Ward 28
20,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,Ward 28
21,198,4,2.02%,2,1.01%,2,1.01%,53,26.77%,23,11.62%,12,6.06%,96,48.48%,2,1.01%,4,2.02%,Ward 28
22,170,7,4.12%,0,0%,0,0%,43,25.29%,18,10.59%,21,12.35%,76,44.71%,0,0%,5,2.94%,Ward 28
23,250,2,0.80%,0,0%,1,0.40%,67,26.80%,28,11.20%,7,2.80%,136,54.40%,1,0.40%,8,3.20%,Ward 28
24,171,4,2.34%,2,1.17%,4,2.34%,32,18.71%,26,15.20%,12,7.02%,84,49.12%,0,0%,7,4.09%,Ward 28
25,395,14,3.54%,3,0.76%,1,0.25%,97,24.56%,65,16.46%,25,6.33%,174,44.05%,1,0.25%,15,3.80%,Ward 28
26,112,0,0%,4,3.57%,0,0%,38,33.93%,18,16.07%,2,1.79%,48,42.86%,0,0%,2,1.79%,Ward 28
1,511,4,0.78%,8,1.57%,8,1.57%,61,11.94%,36,7.05%,289,56.56%,34,6.65%,2,0.39%,69,13.50%,Ward 29
2,370,1,0.27%,5,1.35%,0,0%,39,10.54%,38,10.27%,180,48.65%,28,7.57%,1,0.27%,78,21.08%,Ward 29
3,317,7,2.21%,3,0.95%,1,0.32%,35,11.04%,30,9.46%,112,35.33%,36,11.36%,2,0.63%,91,28.71%,Ward 29
4,356,8,2.25%,1,0.28%,2,0.56%,30,8.43%,42,11.80%,189,53.09%,44,12.36%,0,0%,40,11.24%,Ward 29
5,349,7,2.01%,5,1.43%,5,1.43%,30,8.60%,58,16.62%,134,38.40%,62,17.77%,0,0%,48,13.75%,Ward 29
6,313,5,1.60%,9,2.88%,0,0%,47,15.02%,57,18.21%,61,19.49%,109,34.82%,0,0%,25,7.99%,Ward 29
7,588,6,1.02%,8,1.36%,9,1.53%,62,10.54%,119,20.24%,209,35.54%,108,18.37%,1,0.17%,66,11.22%,Ward 29
8,744,15,2.02%,8,1.08%,7,0.94%,82,11.02%,159,21.37%,186,25.00%,211,28.36%,0,0%,76,10.22%,Ward 29
9,313,8,2.56%,3,0.96%,1,0.32%,51,16.29%,63,20.13%,37,11.82%,124,39.62%,3,0.96%,23,7.35%,Ward 29
10,381,9,2.36%,3,0.79%,3,0.79%,76,19.95%,71,18.64%,34,8.92%,170,44.62%,0,0%,15,3.94%,Ward 29
11,349,14,4.01%,4,1.15%,0,0%,73,20.92%,69,19.77%,35,10.03%,137,39.26%,0,0%,17,4.87%,Ward 29
12,462,19,4.11%,4,0.87%,2,0.43%,82,17.75%,107,23.16%,43,9.31%,180,38.96%,0,0%,25,5.41%,Ward 29
13,463,16,3.46%,2,0.43%,3,0.65%,89,19.22%,78,16.85%,44,9.50%,204,44.06%,0,0%,27,5.83%,Ward 29
14,404,9,2.23%,2,0.50%,2,0.50%,92,22.77%,82,20.30%,21,5.20%,171,42.33%,2,0.50%,23,5.69%,Ward 29
15,366,12,3.28%,3,0.82%,0,0%,95,25.96%,73,19.95%,24,6.56%,143,39.07%,0,0%,16,4.37%,Ward 29
16,429,11,2.56%,6,1.40%,0,0%,72,16.78%,107,24.94%,42,9.79%,170,39.63%,0,0%,21,4.90%,Ward 29
17,332,8,2.41%,3,0.90%,0,0%,81,24.40%,55,16.57%,15,4.52%,146,43.98%,0,0%,24,7.23%,Ward 29
18,413,11,2.66%,5,1.21%,3,0.73%,89,21.55%,87,21.07%,27,6.54%,179,43.34%,0,0%,12,2.91%,Ward 29
19,413,10,2.42%,2,0.48%,1,0.24%,72,17.43%,88,21.31%,36,8.72%,190,46.00%,3,0.73%,11,2.66%,Ward 29
20,266,8,3.01%,2,0.75%,1,0.38%,69,25.94%,39,14.66%,26,9.77%,116,43.61%,0,0%,5,1.88%,Ward 29
21,304,9,2.96%,4,1.32%,2,0.66%,55,18.09%,41,13.49%,59,19.41%,99,32.57%,2,0.66%,33,10.86%,Ward 29
22,441,14,3.17%,6,1.36%,0,0%,103,23.36%,70,15.87%,25,5.67%,208,47.17%,0,0%,15,3.40%,Ward 29
23,415,13,3.13%,5,1.20%,5,1.20%,102,24.58%,72,17.35%,38,9.16%,169,40.72%,0,0%,11,2.65%,Ward 29
24,308,6,1.95%,0,0%,3,0.97%,73,23.70%,54,17.53%,20,6.49%,140,45.45%,0,0%,12,3.90%,Ward 29
1,443,4,0.90%,4,0.90%,6,1.35%,41,9.26%,47,10.61%,213,48.08%,34,7.67%,3,0.68%,91,20.54%,Ward 30
2,323,5,1.55%,1,0.31%,4,1.24%,51,15.79%,29,8.98%,115,35.60%,21,6.50%,1,0.31%,96,29.72%,Ward 30
3,382,5,1.31%,1,0.26%,8,2.09%,11,2.88%,132,34.55%,119,31.15%,35,9.16%,2,0.52%,69,18.06%,Ward 30
4,339,4,1.18%,4,1.18%,2,0.59%,37,10.91%,44,12.98%,138,40.71%,19,5.60%,0,0%,91,26.84%,Ward 30
5,388,7,1.80%,2,0.52%,0,0%,36,9.28%,31,7.99%,117,30.15%,23,5.93%,1,0.26%,171,44.07%,Ward 30
6,381,1,0.26%,3,0.79%,20,5.25%,18,4.72%,73,19.16%,154,40.42%,61,16.01%,1,0.26%,50,13.12%,Ward 30
7,272,12,4.41%,2,0.74%,7,2.57%,16,5.88%,37,13.60%,88,32.35%,24,8.82%,2,0.74%,84,30.88%,Ward 30
8,419,4,0.95%,2,0.48%,8,1.91%,14,3.34%,155,36.99%,103,24.58%,30,7.16%,2,0.48%,101,24.11%,Ward 30
9,378,8,2.12%,0,0%,5,1.32%,43,11.38%,49,12.96%,137,36.24%,33,8.73%,1,0.26%,102,26.98%,Ward 30
10,351,3,0.85%,2,0.57%,5,1.42%,22,6.27%,89,25.36%,134,38.18%,31,8.83%,0,0%,65,18.52%,Ward 30
11,328,4,1.22%,1,0.30%,1,0.30%,37,11.28%,27,8.23%,71,21.65%,20,6.10%,1,0.30%,166,50.61%,Ward 30
12,422,5,1.18%,2,0.47%,3,0.71%,45,10.66%,40,9.48%,120,28.44%,22,5.21%,0,0%,185,43.84%,Ward 30
13,413,5,1.21%,2,0.48%,1,0.24%,39,9.44%,37,8.96%,142,34.38%,34,8.23%,0,0%,153,37.05%,Ward 30
